               date            open            high             low     close        MA5       MA10   prev_MA5  prev_MA10  golden_cross  dead_cross      slowk      slowd  stoch_position     prev_k     prev_d  stochastic_golden_cross  stochastic_dead_cross        MACD  signal_macd          MA20         std         upper         lower   band_width         rsi        pdi        mdi        ADX    buy   sell  position_long  position_short
142   1683573480000  27345.01000000  27383.44000000  27332.78000000  27383.44  27373.582  27410.590  27380.470  27422.056         False       False  15.431925  12.336695               1   8.933358  11.792579                     True                  False  -68.270243   -68.427726  27438.781429   61.193344  27561.168117  27316.394741   244.773376   32.588744  13.401110  25.505641  39.915917  False  False          False           False
143   1683573660000  27383.43000000  27442.02000000  27382.37000000  27438.77  27385.318  27407.692  27373.582  27410.590         False       False  25.157879  16.507721               0  15.431925  12.336695                    False                  False  -61.460631   -67.034307  27434.518571   58.746773  27552.012118  27317.025025   234.987094   57.511603  19.346251  23.717605  37.789842  False  False          False           False
144   1683573840000  27438.76000000  27483.12000000  27428.52000000  27452.25  27402.980  27405.394  27385.318  27407.692         False       False  44.352766  28.314190               0  25.157879  16.507721                    False                  False  -54.349732   -64.497392  27428.863571   52.140486  27533.144544  27324.582598   208.561946   57.069398  22.961346  22.184550  35.213470  False  False          False           False
145   1683574020000  27452.24000000  27498.35000000  27446.47000000  27494.28  27422.750  27407.296  27402.980  27405.394          True       False  63.285606  44.265417               0  44.352766  28.314190                    False                  False  -44.806323   -60.559178  27427.807143   50.514893  27528.836929  27326.777356   202.059573   73.084543  23.358076  20.808246  33.110597   True  False           True           False
146   1683574200000  27494.27000000  27494.28000000  27475.00000000  27475.00  27448.748  27414.609  27422.750  27407.296         False       False  72.787538  60.141970               0  63.285606  44.265417                    False                  False  -38.356686   -56.118680  27426.157143   48.374161  27522.905465  27329.408821   193.496643   72.171205  22.792174  20.304119  31.157929   True  False          False           False
147   1683574380000  27475.01000000  27488.93000000  27452.25000000  27467.21  27465.502  27419.542  27448.748  27414.609         False       False  78.660879  71.578008               0  72.787538  60.141970                    False                  False  -33.487863   -51.592516  27426.118571   48.338648  27522.795867  27329.441276   193.354591   65.827306  21.714326  22.277011  29.023726   True  False          False           False
148   1683574560000  27467.21000000  27481.07000000  27463.38000000  27463.38  27470.424  27427.871  27465.502  27419.542         False       False  77.885638  76.444685               0  78.660879  71.578008                    False                  False  -29.597157   -47.193445  27425.272143   47.509169  27520.290481  27330.253805   190.036675   82.849531  21.193775  21.742971  27.041965   True  False          False           False
149   1683574740000  27463.39000000  27463.39000000  27420.82000000  27427.78  27465.530  27434.255  27470.424  27427.871         False       False  70.488790  75.678436               0  77.885638  76.444685                    False                   True  -29.051480   -43.565052  27421.880714   45.310088  27512.500890  27331.260538   181.240352   62.501410  19.954096  26.319056  26.092910  False  False          False           False
150   1683574920000  27427.77000000  27430.86000000  27418.05000000  27422.08  27451.090  27436.920  27465.530  27434.255         False       False  63.397153  70.590527               0  70.488790  75.678436                    False                  False  -28.747585   -40.601558  27423.324286   44.943973  27513.212232  27333.436339   179.775893   43.465664  19.582896  26.231711  25.265733  False  False          False           False
151   1683575100000  27422.08000000  27422.09000000  27371.12000000  27371.13  27430.316  27439.532  27451.090  27436.920         False        True  44.824948  59.570297               0  63.397153  70.590527                    False                  False  -32.246270   -38.930500  27419.985000   47.066223  27514.117445  27325.852555   188.264891   25.444969  18.137139  31.092665  25.340783  False  False          False           False
152   1683575280000  27371.13000000  27427.93000000  27371.12000000  27377.36  27412.346  27438.924  27430.316  27439.532         False       False  34.674156  47.632086               0  44.824948  59.570297                    False                  False  -34.122946   -37.968990  27419.790000   47.249525  27514.289049  27325.290951   188.998098    4.815273  17.497538  28.561642  25.246548  False  False          False           False
153   1683575460000  27377.36000000  27388.44000000  27368.07000000  27370.02  27393.674  27432.049  27412.346  27438.924         False       False  24.193191  34.564098               0  34.674156  47.632086                    False                  False  -35.789938   -37.533179  27420.224286   46.721695  27513.667676  27326.780895   186.886781    5.304837  16.964295  28.147524  25.213939  False  False          False           False
154   1683575640000  27370.03000000  27400.72000000  27338.00000000  27354.84  27379.086  27422.308  27393.674  27432.049         False       False  20.913612  26.593653               0  24.193191  34.564098                    False                  False  -37.899063   -37.606356  27417.325000   49.552291  27516.429583  27318.220417   198.209166    4.990787  15.407342  29.964339  25.704649  False   True          False            True
155   1683575820000  27354.85000000  27362.20000000  27289.39000000  27340.72  27362.814  27406.952  27379.086  27422.308         False       False  20.126726  21.744509               0  20.913612  26.593653                    False                  False  -40.245995   -38.134284  27417.018571   50.044701  27517.107973  27316.929170   200.178802    4.610716  13.821485  33.751956  26.861039  False   True          False           False
156   1683576000000  27340.72000000  27404.73000000  27306.27000000  27401.01  27368.790  27399.553  27362.814  27406.952         False       False  30.435034  23.825124               0  20.126726  21.744509                     True                  False  -36.816658   -37.870759  27418.273571   49.353388  27516.980348  27319.566795   197.413554   41.624429  17.650528  29.352184  26.720658  False  False          False           False
157   1683576180000  27401.01000000  27429.61000000  27369.65000000  27369.65  27367.248  27389.797  27368.790  27399.553         False       False  38.796899  29.786219               0  30.435034  23.825124                    False                  False  -36.211944   -37.538996  27413.336429   50.587117  27514.510662  27312.162195   202.348468   35.865639  19.528405  27.040480  25.964261  False  False          False           False
158   1683576360000  27369.66000000  27385.54000000  27364.34000000  27366.24  27366.492  27380.083  27367.248  27389.797         False       False  42.867853  37.366595               0  38.796899  29.786219                    False                  False  -35.597516   -37.150700  27407.192857   50.720298  27508.633453  27305.752261   202.881192   48.227362  18.959834  26.982445  25.356983  False  False          False           False
159   1683576540000  27366.24000000  27366.25000000  27262.00000000  27314.63  27358.450  27368.768  27366.492  27380.083         False       False  32.614879  38.093211               0  42.867853  37.366595                    False                   True  -38.827494   -37.486059  27394.360714   49.708032  27493.776778  27294.944650   198.832128   32.889640  16.427026  36.491968  26.254080  False   True          False           False
160   1683576720000  27314.62000000  27417.89000000  27304.85000000  27413.09  27372.924  27367.869  27358.450  27368.768          True       False  42.005125  39.162619               0  32.614879  38.093211                     True                  False  -33.061267   -36.601100  27389.938571   44.459027  27478.856626  27301.020517   177.836110   57.847174  20.374930  31.567605  25.917945   True  False           True           False
161   1683576900000  27413.32000000  27478.50000000  27409.06000000  27450.78  27382.878  27375.834  27372.924  27367.869         False       False  58.470457  44.363487               0  42.005125  39.162619                    False                  False  -25.160190   -34.312918  27388.765000   42.433106  27473.631212  27303.898788   169.732425   66.154779  25.858503  28.980462  24.473303   True  False          False           False
162   1683577080000  27450.78000000  27518.69000000  27446.04000000  27478.75  27404.698  27385.973  27382.878  27375.834         False       False  79.064582  59.846722               0  58.470457  44.363487                    False                  False  -16.451938   -30.740722  27389.862857   44.652865  27479.168587  27300.557127   178.611460   72.206313  28.349004  26.530627  22.961881   True  False          False           False
163   1683577260000  27478.74000000  27489.67000000  27460.77000000  27480.01  27427.452  27396.972  27404.698  27385.973         False       False  85.181662  74.238900              -1  79.064582  59.846722                    False                  False   -9.341233   -26.460824  27393.593571   49.934080  27493.461732  27293.725411   199.736321   65.689546  27.358248  25.603421  21.558417   True  False          False           False
164   1683577440000  27480.00000000  27507.43000000  27469.76000000  27471.59  27458.844  27408.647  27427.452  27396.972         False       False  83.674211  82.640152              -1  85.181662  74.238900                    False                  False   -4.335397   -22.035739  27397.130000   53.716663  27504.563326  27289.696674   214.866652   72.275151  28.283615  24.406102  20.544183   True  False          False           False
165   1683577620000  27471.58000000  27496.69000000  27462.11000000  27476.14  27471.454  27422.189  27458.844  27408.647         False       False  83.335281  84.063718              -1  83.674211  82.640152                    False                   True   -0.001076   -17.628806  27404.630714   57.035865  27518.702444  27290.558984   228.143460   73.895460  27.033835  24.305201  19.456380  False  False          False           False
166   1683577800000  27476.14000000  27503.67000000  27476.14000000  27488.45  27478.988  27430.933  27471.454  27422.189         False       False  84.431285  83.813593              -1  83.335281  84.063718                     True                  False    4.376766   -13.227692  27412.565714   60.568239  27533.702192  27291.429236   242.272956   95.583762  26.972524  23.418015  18.570490  False  False          False           False
167   1683577980000  27488.46000000  27508.09000000  27484.73000000  27497.93  27482.824  27443.761  27478.988  27430.933         False       False  87.851754  85.206107              -1  84.431285  83.813593                    False                  False    8.513061    -8.879541  27421.702143   63.244904  27548.191952  27295.212334   252.979618   91.719119  26.712638  22.662110  17.830001  False  False          False           False
168   1683578160000  27497.94000000  27537.72000000  27492.40000000  27535.13  27493.848  27460.650  27482.824  27443.761         False       False  93.064106  88.449048              -1  87.851754  85.206107                    False                  False   14.624254    -4.178782  27434.580000   66.836492  27568.252984  27300.907016   267.345969   91.679020  29.155587  21.230333  17.679937  False  False          False           False
169   1683578340000  27535.14000000  27545.45000000  27518.28000000  27524.79  27504.488  27481.666  27493.848  27460.650         False       False  94.561434  91.825764              -1  93.064106  88.449048                    False                  False   18.420725     0.341119  27447.727857   65.032853  27577.793563  27317.662151   260.131412   77.549067  29.127953  20.398276  17.676111  False  False          False           False
170   1683578520000  27524.79000000  27537.71000000  27517.61000000  27535.90  27516.440  27493.947  27504.488  27481.666         False       False  96.134226  94.586588              -1  94.561434  91.825764                    False                  False   22.071513     4.687198  27457.362857   67.523579  27592.410016  27322.315699   270.094317   79.916497  28.246002  19.881575  17.654938  False  False          False           False
171   1683578700000  27535.90000000  27536.34000000  27485.97000000  27517.83  27522.316  27500.652  27516.440  27493.947         False       False  93.199271  94.631643              -1  96.134226  94.586588                    False                   True   23.238808     8.397520  27467.947143   64.251303  27596.449749  27339.444536   257.005213   72.433534  26.112272  23.124821  16.827263  False  False          False           False
172   1683578880000  27517.98000000  27530.03000000  27500.00000000  27504.19  27523.568  27503.196  27522.316  27500.652         False       False  90.776739  93.370078              -1  93.199271  94.631643                    False                  False   22.800434    11.278103  27477.800714   57.697414  27593.195543  27362.405886   230.789657   62.505573  24.904384  22.055125  16.058707  False  False          False           False
